"","competition","trial","culture_conditions","Condition","Timepoint_hr","CFU_per_mL_total","mean_CFU_per_mL","log_mean_CFU_per_mL","sem_CFU_per_mL","log_sem_CFU_per_mL","fold_change","log_fold_change","mean_fold_change","mean_log_fold_change"
"130","Pa14_Kp","trial_2","spent","KPPR1_self_spent","T0",2600000,2760000,6.44090908206522,132664.991614216,5.12275633390707,NA,NA,NA,NA
"131","Pa14_Kp","trial_2","spent","KPPR1_spent_Pa14","T0",3e+06,3200000,6.50514997831991,167332.005306815,5.22357901567111,NA,NA,NA,NA
"132","Pa14_Kp","trial_2","co-culture","KPPR1_Pa14","T0",3e+06,3640000,6.56110138364906,172046.505340853,5.23564585552947,NA,NA,NA,NA
"133","Pa14_Kp","trial_2","control","KPPR1_fresh_LB","T24",1.6e+10,2.64e+10,10.4216039268698,10684755495.5647,10.0287645884428,5333.33333333333,3.72699872793626,8500.93776641091,3.92946683680997
"134","Pa14_Kp","trial_2","spent","KPPR1_self_spent","T24",3.6e+08,219200000,8.34084054981233,65621947.5480574,7.81704911536462,138.461538461538,2.14132915279647,80.2875457875458,1.90464818269798
"135","Pa14_Kp","trial_2","spent","KPPR1_spent_Pa14","T24",3600000,16280000,7.21165440055318,8440284.3553994,6.92635707836743,1.2,0.0791812460476248,4.64190476190476,0.666696225778767
"136","Pa14_Kp","trial_2","co-culture","KPPR1_Pa14","T24",1.8e+08,2.1e+08,8.32221929473392,44497190.922574,7.64833259513077,60,1.77815125038364,58.3713450292398,1.76619970071202
"137","Pa14_Kp","trial_3","control","KPPR1_fresh_LB","T0",4600000,3440000,6.53655844257153,312409.987036266,5.49472490883335,NA,NA,NA,NA
"138","Pa14_Kp","trial_3","spent","KPPR1_self_spent","T0",3200000,2760000,6.44090908206522,132664.991614216,5.12275633390707,NA,NA,NA,NA
"139","Pa14_Kp","trial_3","spent","KPPR1_spent_Pa14","T0",3e+06,3200000,6.50514997831991,167332.005306815,5.22357901567111,NA,NA,NA,NA
"140","Pa14_Kp","trial_3","co-culture","KPPR1_Pa14","T0",3800000,3640000,6.56110138364906,172046.505340853,5.23564585552947,NA,NA,NA,NA
"141","Pa14_Kp","trial_3","control","KPPR1_fresh_LB","T24",6.2e+09,2.64e+10,10.4216039268698,10684755495.5647,10.0287645884428,1347.82608695652,3.12963385781668,8500.93776641091,3.92946683680997
"142","Pa14_Kp","trial_3","spent","KPPR1_self_spent","T24",8.8e+07,219200000,8.34084054981233,65621947.5480574,7.81704911536462,27.5,1.43933269383026,80.2875457875458,1.90464818269798
"143","Pa14_Kp","trial_3","spent","KPPR1_spent_Pa14","T24",2600000,16280000,7.21165440055318,8440284.3553994,6.92635707836743,0.866666666666667,-0.0621479067488444,4.64190476190476,0.666696225778767
"144","Pa14_Kp","trial_3","co-culture","KPPR1_Pa14","T24",3.4e+08,2.1e+08,8.32221929473392,44497190.922574,7.64833259513077,89.4736842105263,1.95169532042545,58.3713450292398,1.76619970071202
"145","Pa14_Kp","trial_4","control","KPPR1_fresh_LB","T0",3400000,3440000,6.53655844257153,312409.987036266,5.49472490883335,NA,NA,NA,NA
"146","Pa14_Kp","trial_4","spent","KPPR1_self_spent","T0",2800000,2760000,6.44090908206522,132664.991614216,5.12275633390707,NA,NA,NA,NA
