Kp_strain,Ec_strain,blank_corr_read,trial,growth,med_blank_corr_read
JV106,JV540,0.0050000000000000044,trial_3,Y,0.0050000000000000044
JV107,JV540,0.0040000000000000036,trial_3,Y,0.0040000000000000036
JV109,JV540,0.0040000000000000036,trial_3,Y,0.0040000000000000036
JV110,JV540,0.0010000000000000009,trial_3,Y,0.0010000000000000009
JV112,JV540,0.0030000000000000027,trial_3,Y,0.0030000000000000027
JV113,JV540,0.005999999999999998,trial_3,Y,0.005999999999999998
JV118,JV540,0.0030000000000000027,trial_3,Y,0.0030000000000000027
JV119,JV540,0.271,trial_3,Y,0.23500000000000004
JV120,JV540,0.054,trial_3,Y,0.054
JV121,JV540,0.07900000000000001,trial_3,Y,0.07900000000000001
JV122,JV540,0.0040000000000000036,trial_3,Y,0.0040000000000000036
JV123,JV540,0.005999999999999998,trial_3,Y,0.005999999999999998
JV124,JV540,0.018999999999999996,trial_3,Y,0.018999999999999996
